cutout,pair_id,x0_kpc,y0_kpc,tng_ad_statistic,tng_ad_empirical_p,tng_residual_rms,grf_median_residual_rms,tng_residual_rms_empirical_p,tng_negative_dip,grf_median_negative_dip,tng_negative_dip_empirical_p,tng_residual_max_abs,grf_median_residual_max_abs,tng_residual_max_abs_empirical_p,tng_distinguishable_ad,tng_distinguishable_rms
cutout_13.hdf5,349,-17.826575915672777,-180.50669743730415,34.294966969483646,0.238095238095238,0.0474440893581306,0.0250901824138605,0.0952380952380952,0.0869569808725369,0.0742713228568576,0.3333333333333333,0.0869569808725369,0.0784029696967642,0.3809523809523809,False,False
cutout_14.hdf5,350,64.69528212380781,-143.49675995692098,7.346555661168644,0.7619047619047619,0.0009143908520912,0.0009218399712566,0.9523809523809524,0.0015207726212253,0.0015345732524943,0.9047619047619048,0.0018889011600205,0.0017816268888963,0.8571428571428571,False,False
cutout_14.hdf5,351,25.938498437348567,177.84503257860982,73.84046202803428,0.0476190476190476,0.0182423459667695,0.0376375134479738,0.9523809523809524,0.0345077287209199,0.0856631126532328,0.9523809523809524,0.0912586216947038,0.1160397879936874,0.5238095238095238,True,False
cutout_14.hdf5,352,-59.544665071707065,-23.16880098529493,4.210199420447653,0.8571428571428571,0.0224011594768984,0.0219008263030419,0.4285714285714285,0.0352950221192872,0.0371928112338641,0.4285714285714285,0.0352950221192872,0.0371928112338641,0.4285714285714285,False,False
cutout_14.hdf5,353,46.003202993446386,128.97155945097322,49.719726332540354,0.2857142857142857,0.0265905862378202,0.0869623077524044,0.9523809523809524,0.0438001129447744,0.1782318636243265,1.0,0.0466724559942786,0.2069978398301634,1.0,False,False
cutout_14.hdf5,354,62.11707004067234,-181.2255148219417,41.30964686237737,0.3809523809523809,0.0015329548144729,0.0042875425039106,1.0,0.0050800095390195,0.0115368286472584,0.9047619047619048,0.0072571425777581,0.0134597215202839,0.9523809523809524,False,False
cutout_14.hdf5,355,-54.07865231455031,-1.3783276520409335,10.79455137574342,0.9523809523809524,0.0163301845849892,0.021437882298017,0.7142857142857143,0.0239990576216112,0.0473312131253621,0.6666666666666666,0.0251844966638458,0.0473312131253621,0.8095238095238095,False,False
cutout_14.hdf5,356,12.148648371041824,189.9742386920991,9.405625214041326,0.7619047619047619,0.043185241887457,0.0446324438648575,0.7619047619047619,0.100003188693917,0.1268026999844963,1.0,0.1509723169391395,0.1354313134169357,0.2857142857142857,False,False
cutout_14.hdf5,357,-28.242840031903437,9.157837482110413,20.73212860792793,0.5714285714285714,0.0272659585043748,0.0175741292356879,0.4285714285714285,0.0853392731844869,0.0268233726785326,0.2857142857142857,0.0853392731844869,0.0448266555253501,0.2857142857142857,False,False
cutout_14.hdf5,358,-46.1737601693624,-146.30563687028695,69.12403603826208,0.0952380952380952,0.0032262939656238,0.0020535544778587,0.0952380952380952,0.0069320606054364,0.0054176327075974,0.1904761904761904,0.0084284426766944,0.0057899933556045,0.0476190476190476,False,False
